title,type,rating,read,last_read,synonyms,mal,anilist,mangaupdates
Dark Summoner to Dekiteiru,Reading,,51,2025-15-10,"ダークサモナーとデキている,黑暗召唤师在地下恋爱中,I'm Dating a Dark Summoner,Hēi'àn zhàohuàn shī zài dìxià liàn'ài zhōng,I'm dating a Dark Summoner,Hẹn hò cùng hắc thuật sư,Daaku Samonaa to Dekite Iru,I'm Dating a Dark Summoner!",https://myanimelist.net/manga/154649,https://anilist.co/manga/157391,https://www.mangaupdates.com/series/mpdrc60
Heart of Thorns,Reading,,47,2025-50-14,"Jīng Jí Zhī Xīn,荆棘之心,Jing Ji Zhi Xin,The Heart of the Thorns",,https://anilist.co/manga/171086,https://www.mangaupdates.com/series/m5iiaer
Iinchou to M-ko no Yuri,Reading,,23,2025-50-12,"Sınıf başkanı ile mazoşist bir kız arasındaki yuri,Kisah Bakung Antara Ketua Kelas dan Gadis Masokis,Yuri Between the Class President and a Masochistic Girl,Class President's and Masochism Girl's Yuri,委員長とM子の百合,Президентка Класу знайшла собі Слухняну Мазохістку",,,
Kuse 100,Reading,,100,2025-18-13,癖100,,,
I Became the Mother of the Evil Male Lead,Reading,,,2025-43-06,"피폐물 남주의 엄마가 되었다,I Became the Bloodthirsty Male Lead's Mother,I Became the Mother of a Bloody Male Lead,I Became the Mother of the Tragic Male Lead,I Became the Mother of the Bloody Male Lead,Eu me tornei a mãe do protagonista louco,Me convertí en la madre del protagonista masculino que era un producto de desecho,Pipyemul Namjuui Eommaga Doeeotda,Je suis la mère du anti-héros,Reencarne cómo la madre del protagonista masculino loco obsesionado,ฉันกลายเป็นแม่พระเอกนิยายจอมเสเพล,闇堕ち主人公のママになりました,成了病态男主的亲妈,成为颓废文男主的妈妈",https://myanimelist.net/manga/166178,https://anilist.co/manga/172316,https://www.mangaupdates.com/series/of7x1e0
The Way the Mage Faces Death,Reading,,,2025-42-06,"마법사가 죽음을 맞이하는 방법,How Wizards Face Death,How a Wizard Dies,How Wizards Welcome Their Death,الطريقة التي يواجه بها الساحر الموت,Mabeobsaga Jug-eum-eul Maj-ihaneun Bangbeob,魔法師迎接死亡的方法,How a Mage Welcomes Death,魔法师迎接死亡的方法",https://myanimelist.net/manga/149239,,https://www.mangaupdates.com/series/196190
Akuma de Fukei!,Reading,,1,2025-40-06,アクマでふけい！,https://myanimelist.net/manga/178459,https://anilist.co/manga/186512,https://www.mangaupdates.com/series/iyz5mca
My New Girlfriend Is Not Human?,Reading,,81,2025-36-14,"¿Mi nueva novia no es humana?,Meine neue Freundin ist kein Mensch?,Ma Nouvelle Copine N'est Pas Humaine ?,Pacar Baruku Bukan Manusia?,Minha nova namorada não é humana?,Yeni kız arkadaşım insan değil mi?,Моя нова дівчина — не людина?,Moja nowa dziewczyna nie jest człowiekiem?",,,
"Childhood Friend, Big Love",Reading,,,2025-48-08,"My Angel Childhood Friend was a Gal When We Met Again,幼馴染BIGLOVE,Osananajimi BIGLOVE,天使だった幼なじみ、再会したらギャルだった,Tenshi datta Osananajimi, Saikai Shitara Gyaru datta,Minha Amiga de Infância Era um Anjo, Mas Quando Nos Reencontramos, Ela Se Tornou uma Gyaru.,A Childhood Friend Who Was an Angel, When We Met Again, She Was a Gal",https://myanimelist.net/manga/173527,https://anilist.co/manga/182243,https://www.mangaupdates.com/series/19rqmdn
Arrogant Slave,Reading,,,2025-40-14,"高飛車ドレイちゃん,고압적인 노예,Takabisha Dorei-chan,A escrava arrogante,Budak yang congkak",,https://anilist.co/manga/179006,https://www.mangaupdates.com/series/sfiwg7b
